[2026-06-13T23:11:25.560Z] POST https://m.stripe.com/6 → 200 (813ms, 580B)
[2026-06-13T23:11:27.376Z] POST https://r.stripe.com/b → pending (?ms, ?B)
[2026-06-13T23:11:29.389Z] GET https://js.stripe.com/v3/fingerprinted/js/trusted-types-checker-a86dcafd042e60cf7585cbabd57b0cdb.js → pending (?ms, ?B)
[2026-06-13T23:11:31.841Z] GET https://slippi.gg/netplay → 200 (204ms, 844B)
[2026-06-13T23:11:31.841Z] POST https://r.stripe.com/b → pending (?ms, ?B)
[2026-06-13T23:11:32.054Z] POST https://region1.google-analytics.com/g/collect?v=2&tid=G-NPBRD7S7KW&gtm=45je66a1v9114334048za20g&_p=1781392282983&gcd=13l3l3l2l1l1&npa=1&dma_cps=a&dma=1&_eu=EAAIAAQ&are=1&cid=1514921236.1781392284&frm=0&ir=1&pscdl=noapi&rcb=0&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=27.0.0&uaw=0&ul=en-us&_s=2&tag_exp=115938465~115938468~118395334~119456239~119456247&sid=1781392283&sct=1&seg=0&dl=https%3A%2F%2Fslippi.gg%2F&dt=Slippi&en=user_engagement&_et=8435&tfd=9389 → pending (?ms, ?B)
[2026-06-13T23:11:32.071Z] GET https://www.googletagmanager.com/gtag/js?id=UA-136305043-1 → 200 (?ms, -632B)
[2026-06-13T23:11:32.071Z] GET https://unpkg.com/aos@next/dist/aos.css → 200 (1ms, -802B)
[2026-06-13T23:11:32.072Z] GET https://slippi.gg/static/js/main.a39cc53d.js → 200 (?ms, -286B)
[2026-06-13T23:11:32.072Z] GET https://slippi.gg/static/css/main.96f2075f.css → 200 (?ms, -307B)
[2026-06-13T23:11:32.081Z] GET https://fonts.googleapis.com/css?family=Roboto:100,300,400,500,700,900|Maven+Pro:400,500,700,800|Rubik:300,400,500,700 → 200 (?ms, -743B)
[2026-06-13T23:11:32.081Z] GET https://fonts.gstatic.com/s/mavenpro/v40/7Au9p_AqnyWWAxW2Wk3GzWQIElsO0w.woff2 → 200 (?ms, -815B)
[2026-06-13T23:11:32.081Z] GET https://fonts.gstatic.com/s/rubik/v31/iJWKBXyIfDnIV7nBrXyw023e.woff2 → 200 (?ms, -815B)
[2026-06-13T23:11:32.105Z] GET https://slippi.gg/static/media/SlippiggHorizontal.c9a4953482e352219226eed991ed6213.svg → 200 (?ms, -311B)
[2026-06-13T23:11:32.106Z] GET https://api.github.com/repos/project-slippi/slippi-launcher/releases → 200 (4ms, -1341B)
[2026-06-13T23:11:32.106Z] GET https://js.stripe.com/v3 → 200 (?ms, -680B)
[2026-06-13T23:11:32.125Z] GET https://www.googletagmanager.com/gtag/js?id=G-NPBRD7S7KW&cx=c&gtm=4e66a1 → 200 (?ms, -586B)
[2026-06-13T23:11:32.125Z] GET https://www.google-analytics.com/analytics.js → 200 (?ms, -913B)
[2026-06-13T23:11:32.136Z] GET https://js.stripe.com/v3/controller-with-preconnect-557d428dc3cfb5119fa8e8db30661a6c.html → 200 (1ms, -1198B)
[2026-06-13T23:11:32.141Z] GET https://js.stripe.com/v3/fingerprinted/js/shared-caf699e09dfe1f4895f88e7aeb03b474.js → 200 (1ms, -689B)
[2026-06-13T23:11:32.142Z] GET https://js.stripe.com/v3/fingerprinted/js/controller-with-preconnect-9c31de8ad76509a9dd1704cf139605bc.js → 200 (?ms, -689B)
[2026-06-13T23:11:32.161Z] GET https://js.stripe.com/v3/.deploy_status_henson.json → 200 (2ms, -553B)
[2026-06-13T23:11:32.161Z] GET https://js.stripe.com/v3/.deploy_status_henson.json → 200 (2ms, -553B)
[2026-06-13T23:11:32.161Z] GET https://js.stripe.com/v3/fingerprinted/js/stripe-cookies-99315d136700f132b072c563090f72a7.js → 200 (?ms, -688B)
[2026-06-13T23:11:32.162Z] GET https://js.stripe.com/v3/.deploy_status_henson.json → 200 (?ms, -553B)
[2026-06-13T23:11:32.167Z] POST https://r.stripe.com/b → pending (?ms, ?B)
[2026-06-13T23:11:32.168Z] GET https://js.stripe.com/v3/fingerprinted/js/consumerSchema-b415a44787df0507a440b401f8131955.js → 200 (?ms, -689B)
[2026-06-13T23:11:33.083Z] GET https://slippi.gg/leaderboards → 200 (171ms, 838B)
[2026-06-13T23:11:33.083Z] POST https://r.stripe.com/b → pending (?ms, ?B)
[2026-06-13T23:11:33.084Z] POST https://r.stripe.com/b → pending (?ms, ?B)
[2026-06-13T23:11:33.084Z] POST https://r.stripe.com/b → pending (?ms, ?B)
[2026-06-13T23:11:33.132Z] GET https://js.stripe.com/v3/m-outer-3437aaddcdf6922d623e172c2d6f9278.html → 200 (?ms, -1351B)
[2026-06-13T23:11:33.135Z] GET https://js.stripe.com/v3/fingerprinted/js/m-outer-15a2b40a058ddff1cffdb63779fe3de1.js → 200 (?ms, -706B)
[2026-06-13T23:11:33.136Z] GET https://m.stripe.network/inner.html → 200 (1ms, -1199B)
[2026-06-13T23:11:33.140Z] GET https://m.stripe.network/out-4.5.45.js → 200 (?ms, -643B)
[2026-06-13T23:11:33.143Z] POST https://m.stripe.com/6 → pending (?ms, ?B)
[2026-06-13T23:11:33.258Z] POST https://region1.google-analytics.com/g/collect?v=2&tid=G-NPBRD7S7KW&gtm=45je66a1v9114334048za20g&_p=1781392292071&gcd=13l3l3l2l1l1&npa=1&dma_cps=a&dma=1&_eu=EAAIAAQ&are=1&cid=1514921236.1781392284&frm=0&ir=1&pscdl=noapi&rcb=16&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=27.0.0&uaw=0&ul=en-us&tag_exp=115616986~115938465~115938468~119456239~119456247&sid=1781392283&sct=1&seg=1&dl=https%3A%2F%2Fslippi.gg%2Fnetplay&dt=Slippi&_s=1&tfd=1416 → pending (?ms, ?B)
[2026-06-13T23:11:33.259Z] GET https://www.googletagmanager.com/gtag/js?id=UA-136305043-1 → 200 (?ms, -632B)
[2026-06-13T23:11:33.259Z] GET https://unpkg.com/aos@next/dist/aos.css → 200 (?ms, -802B)
[2026-06-13T23:11:33.260Z] GET https://slippi.gg/static/js/main.a39cc53d.js → 200 (?ms, -286B)
[2026-06-13T23:11:33.260Z] GET https://slippi.gg/static/css/main.96f2075f.css → 200 (?ms, -307B)
[2026-06-13T23:11:33.260Z] GET https://fonts.googleapis.com/css?family=Roboto:100,300,400,500,700,900|Maven+Pro:400,500,700,800|Rubik:300,400,500,700 → 200 (?ms, -743B)
[2026-06-13T23:11:33.268Z] GET https://fonts.gstatic.com/s/mavenpro/v40/7Au9p_AqnyWWAxW2Wk3GzWQIElsO0w.woff2 → 200 (?ms, -815B)
[2026-06-13T23:11:33.268Z] GET https://fonts.gstatic.com/s/rubik/v31/iJWKBXyIfDnIV7nBrXyw023e.woff2 → 200 (?ms, -815B)
[2026-06-13T23:11:33.283Z] GET https://slippi.gg/static/media/SlippiggHorizontal.c9a4953482e352219226eed991ed6213.svg → 200 (?ms, -311B)
[2026-06-13T23:11:33.284Z] GET https://js.stripe.com/v3 → 200 (?ms, -680B)
[2026-06-13T23:11:33.291Z] GET https://www.googletagmanager.com/gtag/js?id=G-NPBRD7S7KW&cx=c&gtm=4e66a1 → 200 (?ms, -586B)
[2026-06-13T23:11:33.292Z] GET https://www.google-analytics.com/analytics.js → 200 (?ms, -913B)
[2026-06-13T23:11:33.296Z] GET https://js.stripe.com/v3/controller-with-preconnect-557d428dc3cfb5119fa8e8db30661a6c.html → 200 (1ms, -1198B)
[2026-06-13T23:11:33.300Z] GET https://js.stripe.com/v3/fingerprinted/js/shared-caf699e09dfe1f4895f88e7aeb03b474.js → 200 (?ms, -689B)
[2026-06-13T23:11:33.300Z] GET https://js.stripe.com/v3/fingerprinted/js/controller-with-preconnect-9c31de8ad76509a9dd1704cf139605bc.js → 200 (?ms, -689B)
[2026-06-13T23:11:33.309Z] GET https://js.stripe.com/v3/.deploy_status_henson.json → 200 (1ms, -553B)
[2026-06-13T23:11:33.309Z] GET https://js.stripe.com/v3/.deploy_status_henson.json → 200 (1ms, -553B)
[2026-06-13T23:11:33.309Z] GET https://js.stripe.com/v3/fingerprinted/js/stripe-cookies-99315d136700f132b072c563090f72a7.js → 200 (?ms, -688B)
[2026-06-13T23:11:33.309Z] GET https://js.stripe.com/v3/.deploy_status_henson.json → 200 (?ms, -553B)
[2026-06-13T23:11:33.312Z] POST https://r.stripe.com/b → pending (?ms, ?B)
[2026-06-13T23:11:33.312Z] GET https://js.stripe.com/v3/fingerprinted/js/consumerSchema-b415a44787df0507a440b401f8131955.js → 200 (?ms, -689B)
[2026-06-13T23:11:34.297Z] GET https://js.stripe.com/v3/m-outer-3437aaddcdf6922d623e172c2d6f9278.html → 200 (?ms, -1351B)
[2026-06-13T23:11:34.302Z] GET https://js.stripe.com/v3/fingerprinted/js/m-outer-15a2b40a058ddff1cffdb63779fe3de1.js → 200 (?ms, -706B)
[2026-06-13T23:11:34.303Z] GET https://m.stripe.network/inner.html → 200 (1ms, -1199B)
[2026-06-13T23:11:34.306Z] GET https://m.stripe.network/out-4.5.45.js → 200 (?ms, -643B)
[2026-06-13T23:11:34.310Z] POST https://m.stripe.com/6 → pending (?ms, ?B)
[2026-06-13T23:11:34.312Z] POST https://r.stripe.com/b → pending (?ms, ?B)
[2026-06-13T23:11:34.312Z] POST https://r.stripe.com/b → pending (?ms, ?B)
[2026-06-13T23:11:34.312Z] POST https://r.stripe.com/b → pending (?ms, ?B)
[2026-06-13T23:11:34.695Z] GET https://slippi.gg/images/characters/stock-icon-20-0.png → 200 (194ms, 11051B)
[2026-06-13T23:11:34.696Z] GET https://slippi.gg/images/characters/stock-icon-15-0.png → 200 (223ms, 11544B)
[2026-06-13T23:11:34.696Z] GET https://slippi.gg/images/characters/stock-icon-16-0.png → 200 (183ms, 10571B)
